the	[ðə:]	определенный артикль
and	[ænd]	и; а, но
a	[ə]	неопределенный артикль
to	[tu:]	к, в, на, до, для
was	[wɔz]	был, была, было;
I	[ʌi]	я
is	[iz]	3-е л. ед. ч. наст. врем. гл. to be
of	[ɔv]	из, от, о, об
that	[ðæt]	тот, та, то
you	[ju:]	ты, вы
he	[hi:]	он
it	[it]	он, она, оно; это
in	[in]	в
his	[hiz]	его
had	[hæd]	имел, получал
do	[du:]	делать
with	[wið]	с, вместе с
not	[nɔt]	не, нет; ни
her	[hз:]	её
for	[fɔ:]	в течение, на, для
on	[ɔn]	на
at	[æt]	около, у; в, на
but	[bʌt]	только, лишь, кроме, но, а
she	[ʃi:]	она
him	[him]	его
as	[æz]	как, когда
are	[a:(r)]	мн. ч. наст. врем. гл. to be
said	[sed]	говорил, сказал
they	[ðei]	они
we	[wi:]	мы
all	[ɔ:l]	все, вся, всё
this	[ðis]	этот, эта, это
have	[hæv]	 иметь; получать; быть должным
there	[ðɛə]	там, туда, здесь
what	[(h)wɔt]	что
out	[aut]	вне, снаружи; за
up	[ʌp]	наверх(у), выше; вверх по, вдоль по
one	[wʌn]	один
from	[frɔm]	от, из, с
me	[mi:]	мне, меня
go	[gəu]	идти, ехать ; уходить
were	[wз:]	были
would	[wud]	1) вспом. глагол.; 2) модальный глагол
like	[laik]	похожий; как, подобно; любить, нравиться
when	[(h)wen]	когда
could	[kud]	мог, умел
then	[ðen]	тогда; затем
be	[bi:]	быть, существовать; находиться
them	[ðem]	их , им
did	[did]	делал, выполнял
been	[bi:n]	был, была, было
now	[nau]	теперь, сейчас
look	[luk]	взгляд, смотреть
back	[bæk]	спина, задний
my	[mai]	мой
no	[nəu]	нет, не
your	[jɔ:]	твой, ваш
which	[(h)witʃ]	который; что
about	[ə'baut]	кругом, вокруг; около; о, об, относительно
time	[taim]	время; раз
down	[daun]	вниз, внизу; вниз по, вдоль по
into	['intu:]	в
who	[hu:]	кто; который
can	[kæn]	мочь; уметь
know	[nəu]	знать
if	[if]	если
just	[dʒʌst]	только что
their	[ðɛə]	их
get	[get]	получать; брать; приобретать
over	['əuvə]	над; свыше
more	[mɔ:]	больше, более
some	[sʌm]	несколько
man	[mæn]	человек, мужчина
come	[kʌm]	приходить, приезжать; случаться
an	[æn]	неопределённый артикль
so	[səu]	так; тоже, также
other	['ʌðə]	другой, иной, еще
little	['litl]	маленький
see	[si:]	видеть
here	[hiə]	здесь, тут
thing	[θiŋ]	вещь, предмет
hand	[hænd]	рука
by	[bai]	у , около
will	[wil]	1) вспом. гл. будущ. врем.; 2) модальный глагол
way	[wei]	путь, дорога
again	[ə'gein]	опять, снова
right	[rait]	правый; верно
only	['əunli]	только
am	[æm]	1-е л. ед.ч. наст. врем. гл. to be
how	[hau]	как
think	[θiŋk]	думать; считать, полагать
or	[ɔ:]	или
got	[gɔt]	получил
good	[gud]	хороший; добро
eye	[ai]	глаз; взгляд
well	[wel]	хорошо
thought	[θɔ:t]	думал, мысль
day	[dei]	день; сутки
two	[tu:]	два
than	[ðæn]	чем, нежели
before	[bi'fɔ:]	перед; раньше
where	[(h)wɛə]	где; куда
very	['veri]	очень
say	[sei]	говорить, сказать
came	[keim]	приходил, приезжал
any	['eni]	какой-нибудь
old	[əuld]	старый
still	[stil]	тихий; все еще
after	['a:ftə]	после, через; потом
off	[ɔv]	с, от
